drink_id,user_id,rating
1,9,4.5
2,9,4.9
3,9,4.6
4,9,4.6
5,9,4.6
6,9,3.8
7,9,4.4
8,9,4.2
9,9,4.7
10,9,4.4
11,9,4.57
12,9,4.8
13,9,4.3
14,9,3.9
15,9,4.6
16,9,4.7
17,9,4.6
18,9,4.6
19,9,4.6
20,9,4.5
21,9,4.2
22,9,4.6
23,9,4.4
24,9,4.5
25,9,4
26,9,4.1
27,9,4.5
28,9,3.9
29,9,3.6
30,9,3.9
31,9,5
32,9,3.8
33,9,3.9
34,9,3.9
35,9,3.1
36,9,3.9
37,9,4.6
38,9,4.6
39,9,4.5
40,9,4.6
41,9,4.7
42,9,4
43,9,4.5
44,9,4.3
45,9,4.7
46,9,4.4
47,9,4
48,9,4
49,9,4
50,9,4
